variance	energy	centroid	frequency	c5	c6	c7	c8	c9	target
0.012259421	227.2047701	964.1722035	14.90527661	0.034057457	6.23583424	-0.000762007	1402.40	261.622800365535	sintos
0.011587224	207.0802843	941.0725124	14.23575865	0.033929879	6.160882423	-0.00065097	1361.60	339.069118345814	sintos
0.092431042	193.9924111	886.9940518	9.304392818	0.035773792	5.830849135	-0.000509678	1472.79	171.712207100677	sintos
0.081191363	172.7216787	634.327031	6.63747586	0.035968835	5.30265746	-0.000401505	1342.24	387.586530066866	sintos
0.071104035	165.3413563	557.3854048	5.16023794	0.037359029	5.764917126	-0.000366444	1072.92	326.585926447069	sintos
0.067917881	164.0677922	456.228962	4.604565533	0.034206089	5.246871895	-0.000371572	1087.46	402.523953353525	sintos
0.074277571	162.5080867	381.1378129	5.539277396	0.003508837	3.316138303	-0.000282821	1150.86	407.282004713895	sintos
0.000742977	167.2102783	264.6964461	5.51796709	0.032277597	2.59864664	-0.00027718	1057.32	359.468834003313	sintos
0.080724037	172.5483425	247.6002447	6.65758993	0.024229626	1.582668038	-0.000307081	1748.86	453.004446873039	sintos
0.082878111	177.8082548	247.9588659	7.283456456	0.020369167	1.235092037	-0.000306532	1042.04	545.595521054011	sintos
0.074303433	184.1413741	312.6639954	5.767690591	0.017849714	1.597104943	-0.000279983	279.63	306.888228929491	sintos
0.06645601	192.2726894	411.7110845	4.446495624	0.014468893	4.465537671	-0.00030824	1211.81	578.977373678995	sintos
0.006622736	205.173735	426.7414006	4.468564434	0.016098124	5.863753057	-0.000276474	419.63	80.808090264871	sintos
0.065780196	206.392155	413.8713515	4.623902404	0.015329784	4.125688787	-0.000284405	422.04	48.593857416671	sintos
0.050566659	208.4379108	416.3844615	2.695850306	0.016667223	5.021793384	-0.000172235	425.41	24.823700487181	sintos
0.045580405	176.9545136	423.9319053	2.001843191	0.01341346	2.850739957	-0.000194003	1411.38	337.903058901400	sintos
0.05364782	165.8922204	229.7324027	2.994045175	0.015333181	0.775068315	-0.000219339	1853.07	519.222242491121	sintos
0.000527345	156.3747843	256.7488565	2.874047105	0.017871706	2.869712428	-0.000209771	400.84	359.304674503226	sintos
0.049928904	153.4139496	259.3206396	2.482670905	0.023142281	1.590786005	-0.000177121	265.91	364.288403927279	sintos
0.052043816	154.3541015	199.773428	2.761456488	0.021318253	1.28454543	-0.00019462	841.94	514.313451567326	sintos
0.057334717	153.4784542	236.4931275	3.340620209	0.031845089	1.870209451	-0.00018876	1685	523.554340887195	sintos
0.065429692	153.4899101	308.6585022	4.266451985	0.042950214	2.950226676	-0.000184293	968.37	337.618425760445	sintos
0.071852551	154.8408654	377.669233	5.210947683	0.043126633	3.758089132	-0.000181537	924.57	214.090651365104	sintos
0.08213489	157.4422626	421.9439085	6.749204099	0.042854082	4.617656484	-0.000220755	993.51	380.611797873736	sintos
0.090429366	158.0328322	653.8217153	8.607160533	0.037882597	6.16161073	-0.000300595	930.68	253.444545053932	sintos
0.081503182	152.4918529	874.2930017	7.037181376	0.040643337	7.789897768	-0.000257997	635.33	510.979627405087	sintos
0.068208537	146.4030879	952.1841026	4.674643224	0.045650761	9.384961806	-0.000205125	506.57	369.893170189812	sintos
0.064104267	142.5699333	946.9713765	4.3023309	0.04752832	11.19230873	-0.000207333	482.60	196.084455402468	sintos
0.055970431	147.0894256	844.4620952	3.311323094	0.048527242	11.3819073	-0.000195953	479.23	197.246260356798	sintos
0.044763071	161.7046462	1262.002165	2.067582187	0.053092373	9.979940744	-0.000145946	799.67	560.933979727003	sintos
0.004638183	161.580182	757.0317608	2.220584658	0.004185154	5.053052097	-0.000201287	981.26	280.076141458718	sintos
0.053886624	148.6584642	425.3172501	2.919205719	0.027748453	6.82099353	-0.000251948	1166.97	190.110353280505	sintos
0.060160684	144.0957067	613.82076	3.758720869	0.002374496	7.611546717	-0.000291747	1159.66	93.899619278074	sintos
0.064644481	144.1974627	585.4880829	4.35713533	0.02394544	7.325307579	-0.000319483	1363.37	179.787185439937	sintos
0.006498623	144.926535	569.5713874	4.328174899	0.023583378	7.207464144	-0.000355573	329.45	491.162880196638	sintos
0.067098822	149.8577887	503.6337045	4.706002141	0.021717123	5.191063613	-0.000379258	255.97	490.829252031244	sintos
0.084416852	158.1639986	558.4102911	6.789734429	0.002329103	6.011932562	-0.000405352	1442.72	177.688337075708	sintos
0.088643569	148.5629585	382.7164381	8.360408613	0.021874414	3.640023673	-0.000399992	1417.88	118.404414544854	sintos
0.006803653	144.9539413	430.3723916	4.94197194	0.023969605	4.319585311	-0.000304741	1423.57	149.392501748297	sintos
0.060913677	146.0598429	606.2777071	3.513537857	0.027019839	6.777534129	-0.000256552	1452.73	91.360051922378	sintos
0.059980599	146.4415523	615.0081267	3.830995851	0.024772324	5.430010268	-0.000309598	1446.06	52.986564244251	sintos
0.00634743	146.1757897	791.5742909	4.014325318	0.026833642	6.299027259	-0.000303836	1452.43	61.013793973497	sintos
0.064309595	145.385061	659.1110107	4.337807427	0.027668437	6.387608827	-0.000321841	318.34	401.335438148053	sintos
0.005980926	144.3653037	715.0111429	3.550069243	0.028810529	8.037131732	-0.000288525	1459.26	45.128025037561	sintos
0.074066186	144.3157639	511.7241166	5.525801425	0.023161107	5.586944893	-0.000384292	1440.14	144.893498402166	sintos
0.084636261	144.4670384	575.4553499	7.383050212	0.022545757	6.569129112	-0.000409589	1429.40	134.608043354172	sintos
