variance	energy	centroid	frequency	RMS	KURTOSIS	ENTROPIA	MOMENTO	target
0.000269646	2.96913E-07	22092.99454	86.1328125	0.016412878	2.385561947	2.440997465	0.000269383	sintos
0.000317934	4.29402E-07	22091.83733	86.1328125	0.017822005	2.793884603	2.401427739	0.000317624	sintos
0.000368096	2.77898E-05	21917.58886	86.1328125	0.01921372	2.633128439	2.342148256	0.000367737	sintos
0.000285991	9.85093E-06	22040.47528	86.1328125	0.016908387	2.791852114	2.156785883	0.000285712	sintos
0.000990015	-2.95186E-05	22000.05208	43.06640625	0.031473637	7.877079256	2.586603337	0.00098905	sintos
0.001790094	-1.74279E-05	22048.5638	172.265625	0.042295227	3.491966761	3.046954912	0.001788348	sintos
0.001374758	4.88545E-05	21948.53698	430.6640625	0.037121476	2.728780563	3.059446703	0.001373417	sintos
0.00088079	-7.29822E-05	21791.67875	43.06640625	0.029829165	3.39839391	2.30285923	0.000879931	sintos
0.001002677	-9.75562E-05	21696.60577	86.1328125	0.03192861	2.026716429	2.523769448	0.001001699	sintos
0.001032213	0.000115982	21538.30459	43.06640625	0.03250051	1.725413041	3.234254343	0.001031206	sintos
0.002136001	-2.00731E-05	22042.2155	43.06640625	0.046203326	7.580474755	3.242777354	0.002133917	sintos
0.002522156	1.80828E-05	22056.50555	43.06640625	0.050202473	6.112085882	3.152395581	0.002519696	sintos
0.001869275	8.26416E-05	21890.90264	43.06640625	0.043354835	2.503753708	2.967789569	0.001867451	sintos
0.005461687	-3.34836E-06	22089.69877	258.3984375	0.073867252	3.291487193	3.292617314	0.005456359	sintos
0.012143456	-8.99059E-05	21995.07927	215.3320313	0.110211357	2.412962474	4.068410338	0.012131609	sintos
0.014624061	-1.8438E-05	22073.05246	215.3320313	0.120873733	1.98554628	4.132092052	0.014609793	sintos
0.01478256	7.23364E-05	21979.45718	215.3320313	0.1215669	1.927699771	4.250214478	0.014768138	sintos
0.013388165	-0.000139793	21806.76024	215.3320313	0.115815526	2.000877936	3.986114843	0.013375103	sintos
0.008814804	0.000118054	21824.45445	215.3320313	0.093983806	2.031598134	4.009096823	0.008806204	sintos
0.00755877	8.65258E-06	22079.37842	215.3320313	0.086899064	1.931052699	3.861695958	0.007551396	sintos
0.008446218	1.1478E-05	22067.03683	215.3320313	0.09186035	1.907085387	3.937785618	0.008437978	sintos
0.012071474	1.45219E-05	22075.54789	215.3320313	0.109818154	2.240081267	4.015392035	0.012059697	sintos
0.017488072	-9.45242E-05	22009.79823	215.3320313	0.132240707	2.269137653	4.155765636	0.017471011	sintos
0.019610467	8.25152E-05	22026.19001	215.3320313	0.140016625	2.496307038	4.227571493	0.019591334	sintos
0.022407999	-4.69245E-06	22089.69493	215.3320313	0.149620139	2.541247206	3.958065395	0.022386137	sintos
0.025858472	-6.83401E-05	22053.95984	215.3320313	0.160754231	2.502924369	3.891838338	0.025833244	sintos
0.022761866	-6.04604E-05	22057.08542	215.3320313	0.150817655	2.751189195	3.758297612	0.022739659	sintos
0.019113591	-2.93901E-05	22072.13808	215.3320313	0.138191047	2.713933619	3.73701777	0.019094944	sintos
0.016891378	0.000170695	21967.82677	215.3320313	0.130107664	2.371025399	4.183776024	0.016874898	sintos
0.014197928	3.23718E-05	22062.54601	215.3320313	0.119105756	2.01752762	4.146337846	0.014184076	sintos
0.013587845	-1.66194E-05	22073.16239	215.3320313	0.116513268	1.938650916	4.006574494	0.013574588	sintos
0.011662182	-3.95468E-05	22052.66228	215.3320313	0.107950512	2.049254756	3.901281095	0.011650805	sintos
0.010489903	-0.000147985	21901.8266	215.3320313	0.102574717	1.918280244	3.799928157	0.010479669	sintos
0.010445538	7.07728E-05	21998.04978	215.3320313	0.102201376	1.93033054	4.001323256	0.010435347	sintos
0.010011292	6.02387E-05	22011.32307	215.3320313	0.100040305	1.831766526	3.881717683	0.010001525	sintos
0.011302185	2.11293E-05	22061.87421	215.3320313	0.106263763	1.961870638	3.943039127	0.011291159	sintos
0.013223571	-1.09964E-06	22091.74644	215.3320313	0.114937683	1.790461047	3.996767353	0.013210669	sintos
0.015350693	-0.000133385	21909.87401	215.3320313	0.123974893	1.628768032	3.812169804	0.015335716	sintos
0.018246598	0.000181151	21837.42906	215.3320313	0.135245191	1.83007085	4.05998966	0.018228797	sintos
0.019306093	0.000151108	21944.20732	215.3320313	0.139030536	1.859815618	4.045960609	0.019287257	sintos
0.018392453	-0.000276736	21803.42516	215.3320313	0.136081225	1.780157047	3.930929225	0.018374509	sintos
0.01789986	-6.3603E-05	22011.8456	215.3320313	0.133750523	1.978481126	4.135781544	0.017882397	sintos
0.017767206	0.000150607	21934.80283	215.3320313	0.133382484	1.935432552	4.228932875	0.017749872	sintos
0.015632741	0.000110408	21931.74418	215.3320313	0.125062016	2.124672305	4.297896536	0.01561749	sintos
0.013955798	-0.000127755	21937.00333	215.3320313	0.118202701	2.202361963	4.02906854	0.013942183	sintos
0.012787698	6.40266E-05	22025.09909	215.3320313	0.113061098	2.460671056	4.311562358	0.012775222	sintos
0.009723616	-3.3534E-06	22089.29848	215.3320313	0.098560353	2.896039899	4.170003358	0.009714129	sintos
0.006939383	-0.000153483	21845.91837	215.3320313	0.083523226	2.767317066	3.776645604	0.006932613	sintos
0.00426125	0.000118965	21843.56836	215.3320313	0.065445609	2.973552567	3.896580746	0.004257093	sintos
0.001779969	-2.45753E-05	22007.9035	215.3320313	0.042181886	3.674836694	3.049880073	0.001778233	sintos
0.000714042	-1.5029E-06	22081.66205	43.06640625	0.026708705	2.277570829	2.707074757	0.000713345	sintos
0.002559149	9.93394E-05	21907.89898	43.06640625	0.050739342	9.135684435	3.28269403	0.002556652	sintos
0.003344073	-0.000102759	21886.15398	86.1328125	0.057966973	5.721951896	2.982432244	0.003340811	sintos
0.001570146	-5.01502E-05	21973.08794	43.06640625	0.039670253	3.604624501	2.623737918	0.001568614	sintos
0.000706853	9.28475E-05	21906.88081	43.06640625	0.026874502	3.683457461	2.731780922	0.000706164	sintos
0.000636012	-1.7935E-05	22058.75984	215.3320313	0.025219107	3.768436208	2.55903916	0.000635391	sintos
0.004188172	-0.000105895	21910.41464	258.3984375	0.064845869	4.935153436	3.142820829	0.004184086	sintos
0.008829332	5.03913E-05	22027.14342	473.7304688	0.093942601	2.419026463	3.928307787	0.008820718	sintos
0.007794263	2.85128E-05	22048.22937	430.6640625	0.088250932	2.3560112	3.838931841	0.007786659	sintos
0.004592563	-6.06533E-05	21982.25099	215.3320313	0.067789143	2.858607614	3.420246775	0.004588082	sintos
0.001889765	2.69433E-06	22083.9687	215.3320313	0.043450414	3.582324131	2.726544975	0.001887921	sintos
0.000556621	0.00010452	21554.53542	129.1992188	0.024005907	1.894525759	2.740937193	0.000556078	sintos
0.000772646	-2.9614E-05	21920.40315	43.06640625	0.027814075	1.994234837	2.640937276	0.000771892	sintos
0.001179119	4.30239E-05	21827.45637	43.06640625	0.034372382	2.165289261	3.025975224	0.001177969	sintos
0.001381266	3.98814E-05	21945.56097	43.06640625	0.037186058	2.076472361	3.121344576	0.001379919	sintos
0.000738836	-0.000114243	21508.84019	43.06640625	0.027609354	2.715483717	2.511093577	0.000738115	sintos
0.000233184	6.20313E-05	21659.69402	43.06640625	0.01549581	2.763729796	2.527724971	0.000232957	sintos
0.001181545	5.04724E-05	22006.37675	86.1328125	0.034425125	12.13147625	2.567507639	0.001180392	sintos
0.001890467	-0.000129774	21912.9583	43.06640625	0.043813152	5.986569156	2.585222201	0.001888622	sintos
0.008101833	5.92418E-05	22036.909	258.3984375	0.09000359	4.737049999	3.524762983	0.008093928	sintos
0.028010296	3.99217E-05	22066.16309	473.7304688	0.167289853	2.534112897	4.23800636	0.027982969	sintos
0.046084862	-0.000166141	21985.55079	473.7304688	0.214682006	1.90454523	4.143979152	0.046039901	sintos
0.049301695	0.00010556	22027.78802	473.7304688	0.221973721	1.959452938	4.353574536	0.049253596	sintos
0.045023684	5.72631E-05	22052.31092	473.7304688	0.212101472	2.038972203	4.31936476	0.044979758	sintos
0.043089665	-2.54374E-05	22077.57381	473.7304688	0.207482647	1.942703554	4.223461359	0.043047627	sintos
0.039233839	-6.92919E-05	22050.1591	473.7304688	0.198000579	1.899357299	4.172330219	0.039195562	sintos
0.024060009	5.413E-05	22048.5746	473.7304688	0.155055838	2.421192259	4.30080782	0.024036536	sintos
0.008190468	-2.38285E-05	22062.84269	215.3320313	0.090463229	3.6970464	3.667003019	0.008182477	sintos
0.003007983	5.73568E-05	21909.25384	215.3320313	0.054874079	1.751988908	3.383059453	0.003005049	sintos
