variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
0.070494314	155.1859086	4030.936479	3.294079472	0.329928713	0.245321904	6.14816762	-0.000490526	567.82	425.9399845	contos
0.110573352	145.6313934	3150.726445	3.206764933	0.364968136	0.206428197	6.247440464	-0.000725822	512.01	251.5144894	contos
0.101576281	141.6403095	3098.200609	3.165792038	0.336663322	0.25994134	5.900655467	-0.00048397	370.36	208.9522725	contos
0.062153142	159.8785224	3360.800521	3.197027424	0.346332372	0.35418832	6.239203397	-0.000392219	448.28	502.197463	contos
0.171873804	200.1851439	2707.939061	3.158884524	0.335655921	0.217056951	3.825909919	-0.001113884	1363.24	513.2757643	contos
0.246715117	224.9823871	3069.921375	3.205017439	0.335312954	0.218045447	6.222998634	-0.002063864	465	139.1614154	contos
0.193431253	219.8199757	2506.858964	3.160642303	0.223981482	0.250362674	7.476815566	-0.001168782	491.08	162.5500844	contos
0.068590309	189.5322501	2218.379193	3.102002329	0.249255232	0.263647851	7.048473584	-0.000545921	530.83	75.1818129	contos
0.269558973	265.4909937	4441.204904	3.993279453	0.049418583	0.580911137	10.84608126	-0.001694742	524.97	89.96823222	contos
0.320575917	243.0057183	5537.729294	4.003156028	0.083200895	0.555789139	11.54898861	-0.001433315	527.03	103.8710234	contos
0.332702634	245.363993	5940.667367	4.04299994	0.045502797	0.633379187	10.34189874	-0.00100966	546.3	142.5390964	contos
0.280417694	226.3195213	6049.972969	4.037805153	0.105237131	0.624581504	9.875688261	-0.000940603	630.52	286.2901896	contos
0.156759141	265.4909937	4462.898647	4.042410335	0.208853887	0.45020985	5.091684581	-0.000612241	528.64	445.3287264	contos
0.081320166	281.3414001	4968.919668	4.082683979	0.276333281	0.470998631	9.107818828	-0.000292026	521.47	73.98295734	contos
0.070171963	245.363993	4631.054632	3.927406796	0.34181921	0.414785647	10.79774036	-0.000338881	523.42	43.75583341	contos
0.064614132	236.6914238	5144.820877	3.98909688	0.137766179	0.533457169	12.9263537	-0.000222665	553.11	69.70987101	contos
0.068733167	310.9425299	4590.270109	4.178199554	0.153256312	0.449095779	10.57244654	-0.00035946	565.74	106.4166786	contos
0.091109132	236.6914238	3723.094274	4.674887904	0.201008865	0.360012978	5.65244423	-0.000659529	519.79	170.3932992	contos
0.107133973	206.673518	3400.422661	4.835296953	0.184949238	0.300333435	3.964581502	-0.000524676	597.03	267.6848689	contos
0.105177001	222.6034445	3226.829598	4.322995906	0.211420812	0.30132089	3.209211909	-0.000491427	520.68	111.2591944	contos
0.083021552	236.2641172	2709.141213	3.829593031	0.231305772	0.207032101	4.319987502	-0.00071664	433.85	128.0224633	contos
0.062365328	225.206056	3477.081745	3.280837704	0.394825793	0.280715226	3.971933431	-0.000363628	472.26	123.5421303	contos
0.078089565	188.6420769	2975.765765	2.835775734	0.24297269	0.256195677	1.415857055	-0.000494693	1773.74	339.5057502	contos
0.082745615	161.8935794	3375.703276	2.832662241	0.20371653	0.303032813	5.088597284	-0.000373029	498.45	374.3160281	contos
0.080131488	148.1221973	2102.225413	2.831441334	0.122765462	0.194248371	1.463005182	-0.000632381	246.71	267.3341261	contos
0.067137667	153.9170964	3104.028967	2.854216792	0.1827702	0.317658864	3.411750826	-0.000297795	1697.01	364.0098527	contos
0.107812249	169.2722325	2543.870208	2.832020626	0.159149125	0.26898428	3.354829613	-0.000558336	739.2	566.396802	contos
0.15434143	170.0620706	2245.448182	2.813119708	0.121751618	0.227827438	4.335263475	-0.001130293	356.18	419.7857794	contos
0.15130319	153.4908421	2272.954562	2.820308316	0.075189078	0.239084724	6.368472958	-0.001105226	369.86	279.6668209	contos
0.115731052	140.7317329	2079.145759	2.808820144	0.058087284	0.204017574	7.86383288	-0.000817204	373.49	245.6274759	contos
0.07987518	139.0340731	1900.915731	2.775904257	0.135422917	0.193649097	6.615767718	-0.000635843	448.46	259.490411	contos
0.067343949	140.2869932	1871.421862	2.788789884	0.125299393	0.197712216	5.582656149	-0.000448545	377.09	300.401657	contos
0.081705577	220.3746175	5843.603665	3.257407228	0.076884895	0.57288475	15.40589938	-8.65E-05	558.59	382.1192199	contos
0.076794163	274.9232129	5626.693643	3.042740543	0.170555223	0.565175248	12.98827667	-7.01E-05	556.47	343.8132012	contos
0.073871723	301.5528912	5607.627528	2.942916593	0.068211805	0.529831173	15.07595488	-9.82E-05	621.27	499.0652103	contos
0.070774532	267.3044472	5797.238969	2.922477674	0.088128903	0.562439472	13.76475898	-3.55E-05	1804.29	322.5641097	contos
0.063753151	259.6856815	6025.527528	2.819087634	0.050541283	0.601923422	13.05555312	-5.16E-05	1147.96	306.5635409	contos
0.055148941	259.6856815	6096.051457	2.752611612	0.066515912	0.642535556	14.08425738	-7.19E-05	1071.44	394.3113225	contos
0.047944043	244.0845766	5635.829749	2.711747457	0.024618058	0.591993857	11.32711407	-7.77E-05	1013.93	313.1750095	contos
